,customer_id,articles
0,000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,"0663713001,0541518023"
2,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,"0505221004,0685687003,0685687004,0685687001,0505221001"
7,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,"0688873012,0501323011,0598859003,0688873020,0688873011"
12,0008968c0d451dbc5a9968da03196fe20051965edde7413775c4eb3be9abe9c2,"0531310002,0529841001"
14,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"0501820043,0501820043,0674681001,0671505001,0671505001,0631848002,0631848002,0631848002,0631848002,0680187001,0676827002,0676827002,0685687002,0685687002,0680912006,0680912006,0692454002,0692454002,0640639001,0640639001,0664421002,0664421002,0680912009,0680912009,0553139001,0553139001,0377277001,0377277001,0700819006,0700819006"
44,001127bffdda108579e6cb16080440e89bf1250a776c6e55f56e35e9ee029a8d,0397068015
45,001ea4e9c54f7e9c88811260d954edc059d596147e1cf8adc73323aebf571fd8,"0652075001,0670295001"
47,001fd23db1109a94bba1319bb73df0b479059027c182da490e1161b34cd3af61,"0631744002,0562252035"
49,0021da829b898f82269fc51feded4eac2129058ee95bd75bb1591e2eb14ecc79,"0649356002,0579941002,0629760002,0625229004"
53,00228762ecff5b8d1ea6a2e52b96dafa198febddbc3bf350eb611f28e61ea6ce,0688545001
54,002b3c0a44a22c45a8d62ea9d2b88d1a89e335f8b8400335a85c3b5845794cb9,"0673531001,0464277014,0464277014"
57,003ac6eff3ca20cbe4e14a106a5e28b7551616005de8f9dd0f9455e5543b31ac,"0617322003,0617322003,0620405001,0678239001"
61,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,"0613456009,0633675001,0648719001,0427114015,0567475001,0567594001,0681358001,0613456001,0573937001,0622745001,0617322004"
72,00402f4463c8dc1b3ee54abfdea280e96cd87320449eca8953eb06769a5c20d4,"0507909001,0665481004"
74,0045c79125b4dc958579f902b49eacd8598f9eeaa1220506d1cae1275f122084,"0211143037,0211143037,0503729006,0503729006"
78,004888668b9458668aa3234d17337671673599f7f84d36f77fd366b5139058c5,0662857005
79,0051a1d00ec9a4ff1a2f9aa32a4bb054cc9ba08e80be590aec39391ff3dc56e8,0640174002
80,005c9fb2ba6c49b2098a662f64a9124ef95cbec5fcf4ebdb4dcbaaf83f979c51,"0625939005,0508184020,0560783010,0660150001"
84,00609a1cc562140fa87a6de432bef9c9f0b936b259ad3075eb2a65008df1dbab,"0611415005,0578374001,0673677002,0676352001,0611415001"
89,00708c3da4d07706d4cad77c6aecc1b1ce33d21d73022ca12737c91d85bff070,"0255396006,0594834010,0516712001"
92,0074c5948b6c96e7522f6f5c034b46cf08875b9a81c557a02bda0aedac355547,0524825010
93,00761aefe07a2dd6ca110c99f3856ede55f20ff00ce754bf24c422c6746d05f3,"0634015003,0636351002,0633781016"
96,0077ba345ef6aa8781802107df25bbb8a14fdcd04130c3ffa5cd1ac4087ad8ab,0534795002
97,00796ce0bc561897e7047a7b059867aa6424f63ec597e1fbb3a195e48d5f452b,0659550001
98,007e4c2e0994b4aac97c2713d5dc0b7497d74113f32446868ca22b6437e9594d,0547752003
99,007ea762fbbebfad288a49f1d8f7c2c0c62b189a8816fa6968e60f2c197ce938,0610671001
100,007f094708bc97c9ce41a7e75237ef2d16ae45319ebaddb9b842abf34248da8f,"0652731008,0618476004,0622238014,0639297001"
104,00873fc0f81215241785b49518e6758a2c26c0eac4825e7eb048b005a33fc3d6,"0633755001,0640168001,0565200032,0618389001,0432984001,0591702003"
110,00889357d9b1e0e3788fbe8fd7448580b9e51800f59196891c4796a9aaac0945,0448509017
111,008997ffbc4cdb3a41572eb25b2cc918666a6f2a13f3940f196a0160773c8492,0665477001
112,008a118b7c72fd3b8a614eb2672ddfc2a78434c5776af215f4e281fa7506b842,"0578476001,0663396002"
114,0091c0e943c92167ea78f6ac180636be4098b06c1a066cac6f064eab9dc76d3c,0677341001
115,00923f88cda50cbea4c5ceb2bd3467c620a9d74cb7da95ccbd21b856f5c0e2e0,"0564786020,0655347002,0655347007"
118,0095c9b47fc950788bb709201f024c5338838a27c59c0299b857f94b504cb9fc,"0710390001,0633130019,0671057002"
121,00a017d6e1010e117e3881be44027688795bf5f3c363696f7260d0ebe2727285,"0610776024,0186262006,0610776023"
124,00a4f2c8cc87ffb0ea7db47b4b0b247b9ef11033c8d976f374f709a6fb80f1b9,0610097001
125,00a64e86897e28b304195ad497bc63234a3ab00a5eb247930ff59398d765f04a,0675139003
126,00a95aa4ba8d20f1bad415bab15ca6174a762f7550c819f4a1051fc7ee6bcb89,0598795014
127,00aa02ce95fc11f654a76101fd39a3db6b29879fddd8f8b1e56b3e6fbe6fe8d8,"0656345001,0587137001"
129,00ac5119d21281802ecd309e8c7fa0b598e0be861f21caadefd9bc8cf3f87eed,"0611929006,0610776002,0539723005,0662888002"
133,00b10bf5c51e961bd91f7ed9081b1bc6fc7e86000c2bed1a2d9f70da02012432,0562245050
134,00b1804e347ad55d1a75d7c07169e17d1890ad48953824879234177741a85955,0294008002
135,00b5b1446be091d4913765cf2cc01edc7e0d3820e1b8a46905fa4213a4c24433,"0627300001,0544360001"
137,00b5bd5358a05155631bf733a933ecff5eb872f5143af59994ff3e62a97476d7,"0624632002,0552716009,0629483002"
140,00b6ec8613e51d8eadc5157f5a12ae1366ca29da7d44cc8d0ae1e667dea6f268,"0529008008,0594633001,0603401002"
143,00b85712d5e677f7ae3bfa9f9b5780a6eb328e99aeea633f6e8a3df5589d6486,0671142001
144,00be0a263381af38132d31225e8fb12fbc527c654b446484fb672a78118f037d,0644522001
145,00c09e66121ad36f5a8d5039cda266d60bc53daac0b7ad14f19cbbf97be0b160,0225784001
146,00c59bdfaf753688c62cc13f67382dd54275f776a2f6a6ebee11b27049d1d7f7,"0678073001,0671515001,0622046002,0678073002,0617900007,0657195001"
152,00c83c269bedcb5135799d3bc4a7ae6f134d57bdd1be071486ef152b2ef1c300,0297078001
153,00cd0391b52a160dce983a43c15a6e1125d082b78dfa21dd9fe0ce2f86805b74,"0598806012,0662230001"
155,00cf4505ba84c01f03c47829352054483acb59a9492ed0eef597dcf030e9e58b,"0581086004,0564358023,0564358021,0673677003,0512251004,0179208001"
161,00d316a9b10b3d21094e4931f41a42ec7d093bbbd53c7b656ad830be8e6d1565,"0681247002,0681247001"
163,00d774cb18ec8f8c73f4a76846782013803b88f206dffd39638a15a8725a886c,"0678983004,0651905007"
165,00d781e94d9a533dceb85a8d50a898d5987ad9921ea8c6945c247be7220bdd81,"0685687004,0678983004,0616708004,0568858001,0640462002"
170,00da14cc2ed13b9df1425be332f190877d6607aa7c79f761d7605231fd532814,"0610776001,0599729001,0620081001,0684588008,0640539001,0662253002,0684588007"
177,00e1f75b5a9c8deed486dc2c409329e8aaef117d314e01fe0c08a7300d4d9f03,"0662888002,0555364007"
179,00e66bb584bb15b519d91b1979bc7ba33fa0ac956000263db19c0036ac8bbb80,"0633861001,0608458001"
181,00ead79936275fbd3c9cf7863d2eb1b11e553789c48149fec39eb4086cb64642,"0572573001,0678086003,0678086003"
184,00f422e9990c411c736a3d0a35a1eea4cdbef1d419fdede13c01eecb99da4176,"0606769001,0537840001,0609650008,0622295001,0537738003,0617900007,0655710007,0578430002,0601102001"
193,00ff637ac0fc881ed8b09088ed68218924f87f4100842dbdaf2d26c138fcbf2e,"0654423001,0677967003"
195,00ffed0316ae807cb9439799d73cd61fd7f6479a0f9a19668ef442e3a775eb63,"0641741001,0685683001"
197,0115586b1ca570d4a4ef16b9a8e1cf62c9d519d43edc0bc7bdca09b5af2b1370,"0524825019,0626587003,0666638003,0675319001"
201,011d7b691e30ed7eb65d0f141dba11c0d4aa6d30b0625eddc713b7172d4585cf,0653188006
202,01271359dce99de537d6a3fca3c4dfd3732b455ec5085dc0b1623ab550fb821a,"0640182001,0633685001,0522561002,0608483002"
206,012bbedf2efe728a7407a5dc842a852f8e09e9ae9727110c916ae13ebbc86395,"0651456003,0651456003,0651456003"
209,0132d21d866697c428e4d6ffb02548fd71966aa88c8f5adea314e2341f8ad87b,"0580469005,0580469005,0629305003,0553611001,0657195001,0608939002,0608939002,0518827004,0568597012"
218,0137b87739a796f65396d8483173f66318039d19a2583f33f9014a6b6f38719e,0577992001
219,01393ee2d1e9494965b723a22d3b09d992a1b450d17621c4c970ef7faf4d0d8c,0660712012
220,013a3d7d6d974a818bcb8c5181b4f5016f8973550f42e1049b86053643ace6e2,0580746002
221,013cc00a6fe53e361d8b5da4153c5b8907c09bf951dd4ec40d915cf7127c0e6d,0590748001
222,013d1d9e3414787ec7bf048697592b6f76dec3bd5263e485e64429ce387ed09c,"0554757003,0625939005,0556379003,0487827009,0568864001,0535877018,0400319005,0590920002,0445419009,0532578008"
232,014838e4a1fadaaaa5bd2504b73861ef89db7a86b1d0b19f0fbd8bcdd5c3f414,"0679121001,0669825002,0626588003"
235,014cbfc591254f0cf30df52b660f94dead60c8d3eafc00ebb3051bd196bdcd8e,"0578474001,0685687004,0399136061,0399136061,0679494004,0685687001,0502186011"
242,015379bc0ebfa21c432af0f1eec4cfdd83d88f3af3804fb42011610866da0cba,"0573085004,0673677002,0656719003"
245,0157179e65d9394de74d06dd4558456a016a537c55e216a2236b90ac49101d2e,"0552370001,0552370002"
247,015d779989111f5158d089a639b42390cd864f2001b1ed2f24ad78fd37704271,0626054001
248,015e83393e4fc3b071ba6fc5f174bf3bf9813c88dcaf3e61e34c6525984d0ed1,0640244003
249,01624a723db9eb160f1ce8148eea035963527b2ddca1816d5cd79b94bd16bd92,0547367007
250,0163c83a9a9e6a6653ab4aaf448a2773168cb76e74712456c56ea722df4ee5d8,"0675281002,0601465006"
252,0164840429884bbb47f2a342ceea1f0748650d632cd7e3ae962169ddc5abc7e7,"0487052007,0578589001,0567745004,0176550020,0558513001,0487050001,0487053021,0554546003"
260,01657d86ad3c7c5a15c7de441cc0a57c3ed9a3618b368a61aac06070f585df78,"0625773003,0694153002,0634249005"
263,016a5e92559854caa17365012de3e26cae632c968dbcc9b0f6343a54223e80b7,"0665303002,0539723001"
265,016d8f0519d9e0572b3abebeab87408bad7a5c3a2840161f7de2f2900f39b6e6,"0650193004,0527687006"
267,016ee5d84576b72727d7c812df0080f8fa551ba7156593a5ae585b16608e8077,0680186001
268,017ddc94fee40ab9a24af073a4c69282b4c04e094d53a96dc0c97642b5d3b25d,0496111020
269,018584209ee49c1e2a461c7773bd642306432ff77eef6f32881c56bb3bf77de6,"0663488001,0568601020"
271,01887181e59ebbbcda75875d5df516d0ffaa26581ffd78cd909795732e4be9a5,"0662888002,0457892005,0688873012,0688873002,0662888003,0672590001,0688873001"
278,019169333a46eafc04a2a49f04076aeb5bc7f33c403e8940e39048a9581ce753,"0616088013,0541519005,0500780006,0632020002,0632020002,0616086008"
284,0193e3d59eb1a5625b36f53e947c0237ee16c4bd2f7ba7da4bb93efb9e17f66a,"0647794001,0581162001"
286,01959be607170cc2f092ee8fd13eda251b13cde70ef38dd37e37dcdadfde3b9e,"0671553003,0671553001,0662888001,0591334019,0673677002"
291,0195ffd9003a84142a7fee9fbd85b97f111f054a1ee1587b2b98b60d506a5f1b,0562252010
292,01a9a077a83eacc6fd946a60c4ca2aed16219fcd83d31e3110fa04630c42b96d,"0562252010,0574120001,0574120001,0212042043,0590951007,0578816004,0578816004"
299,01b0efc42c236759c44edb9b3c97c9f213d581ce647cf8b16659a9b2eb104df6,0615508001
300,01b2ea4635479ad47c3a5eea6659e28f4f5ea16bbb6180bda7a7a3b18cade7bd,"0619561010,0619561015"
302,01b408ef638888ebabe6ba61e3e9cba93131152d371b50c8aded5eb1ca3aa3c0,"0615085004,0644803002"
304,01b855043167c672d20955a585f39f590a854238bd78149d4e0802362a40d2de,0581213003
305,01bf0506fe8bb4b830a2b0a4459f11565f6b687c615008cdcd59b3abf6df4bd2,"0573716039,0573716039,0690478001,0690478001,0680374001,0680374001"
311,01c290bff9641834691fef7f4b68ad176353d6971ca85e22efeb92c3aa3ffd35,"0714417001,0657395002"
313,01c3653cafdd569ef34e36810d1c1bda71c0d425e568278d0cfe05cfb6604a1a,"0244267032,0630672001"
315,01c8cb2f730cd7253bd3e290d98823894222b305139631fc0471d8d0b3a4bde9,"0537688014,0214844001"
317,01cc2111fdf0603337bf82c79130e2144248bcec1a69cec7e28af56c0c78a4da,"0427159007,0628788001,0617036001,0611415001,0679494004"
322,01cdaf4a8603d1aafd565d05a7e1013d1cca48ab378fa83a68cfe01b52874852,"0669056002,0536162002"
324,01d106a0b45ae7f169b3233d332bf325c80c24d4d160edeccf7d70905077fb86,"0506110001,0632143001,0632143001,0673462002,0677848003,0677848003,0692454002,0685687004,0573085020,0573085020"
334,01e464bf74b13a55df22de1528eff2b33749c0cd92953b62bd22dee2de17d1fd,"0604349001,0639552001,0519583008,0539878003,0448515018,0448515001"
340,01e9439a70175b81a0fcfe7c066a23890a57ca97b9b6d4209b041dfaace79f3e,"0687169001,0581777008"
342,01ef5256e6264e9d50b11a08e9cfb2f2291324fedb4140cf7b4ad070548ffd8f,"0660497003,0660497003,0661308001,0661308001,0630324004,0212629040,0633109002,0583351005,0220094001"
351,01f0287961a0f7453c24e6aede462f55f667e705156f1e8b22c70a65bf51abd5,"0635425004,0505071001"
353,01f040495565a44cbee048d8a0340fe1ba46243565d634a9a574c69fa4b01ade,"0630116011,0619506001,0630116006,0567993036"
357,01f0af0b062a155ce270aa4cd7420795b115dd9320c143eaa10213f13ba346be,"0639525001,0728162002,0728162002"
360,01f597f5eba83f9709eceb5a70a99f3a4009a6e827bf7293afa4211030a29fa4,"0657497007,0625773001,0625773001,0625773001,0674336001,0674336001,0456163026,0456163026,0456163026,0676954001,0676954001,0676954001"
372,01fbe7968ede05b116c4d878d47ed4fd33db355c4b3311c2967858f059a65dde,"0626168001,0583976001,0558428001,0636420001,0587229001,0650578001,0636418001,0188183009,0608952004"
381,01ff82d2792db8d2f92caa1e934fd6a122117f99a47f500ed25e550b7e066362,0594630002
382,0200775b1e95937f4711156d1eccaff5c8d7f7627ad6ac7aa941ed2ad28ab693,"0619739008,0647182001"
384,02042b44255a14412b92f126844f9b33518e2cd598dc36d89d9931907e966076,"0578846001,0522398023,0678073002,0272591016,0626410001,0578846003,0625939005,0628930004,0630450002"
393,020bf2b7e1b1d36c8b7ea7e09782d5cfc7d4c31a74066075a73ac6015ddf5122,0662857001
394,0218014619321c250395c5cb9bc9f5323745113f61f3a136da2f3762df5930c9,"0675281001,0675281001,0663368001"
397,0218e0970319a0f68ebb78a6cdfffb8ddc461d0d02eeb8e8ccf02287ceb05807,0649057002
398,021bfdd3e66576efce4fdffc66c8e7837abad6ac50c10d3ac2c912e5558efd8a,"0685687001,0685687003,0685687004,0685687002"
402,022064800152ad93969188799580e0d2173bc7696f6deec3157f0938315410b4,"0545258004,0556438001"
404,02245dbf97e78482e7b6f23ab4fbc7d445ec57ddb9930d4b23d03b1a1e4af97f,"0608952004,0667378002,0667379002,0556655002,0687427001,0596278006"
410,0229e18d3fcaa6a95380a822b4edc611e7933dab4382979b97d502cb477b0ff8,"0637515001,0675827001"
412,022b4a549932e91686ed9cf3ffbacc2422343f5bc050127db1b23f6a3e5bf020,"0555470006,0667697001,0354246011,0564929005,0418545001,0583448003,0418545036,0672054002,0453239044,0667697002"
422,022d28daa94930566e6139ae25faa966bebd5684cc486c59588d7e9b92262c50,"0622192002,0622192002,0538142004,0622192001,0622192001,0538142008,0648994001,0399087010,0658295002,0658295002"
432,02334389c86031bc841c43b000006162d3bdadd0a88acd650eaebdb3f1beb9c5,"0603145003,0464297007"
434,023807eac529e635ef40b48d61685876c7487d129eb2384e3c335d8f66116874,"0524825006,0524825006"
436,02389a26fba684b9fe51d6fc3f84d10614dde2d5bb9c72f5bfd4c7f2c277aa30,"0569997016,0572533005"
438,023b48de81f6af9de6bef17e720e3873ce40df3f561c975cfd47eaef5f13d09d,"0621760005,0351484013,0351484013,0351484013,0567729004,0567728006,0651863004,0559630002,0609719003"
447,02425a33ee2b4d547b1e4ca9ea521759a42f896af933bfd132f488ad3b6cceea,0665477002
448,0246a0d28554496c1214de05bb45de56d41ba29bc356d79a7ce520aa40d7c2e6,0612636001
449,0247a4cfbe56ac5e1c0b5a91b0ab0aad812f6fca13d4fd7dd72cf870d4195ec0,"0618840005,0625034001,0659124001,0659124001,0629826001,0618840001,0644706003,0493103005"
